Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,sic_code_1,bcb_sector,company_age_years,accounts_overdue_days,accounts_ever_late,conf_stmt_overdue_days,num_mortgages_outstanding,num_mortgages_total,has_active_mortgages,has_changed_name,is_active,is_dormant,is_micro,is_small,is_full_accounts,fast_growth_proxy,label_growth_opportunity,label_risk_signal,label_lending_need_proxy,has_mortgage_history,mortgage_completion_rate,mortgage_active_ratio,mortgage_per_year,company_size_score,log_company_age,age_bucket,is_established,total_overdue_days,overdue_intensity,is_severely_overdue,log_overdue,sector_avg_age,sector_mortgage_rate,sector_overdue_rate,sector_dormant_rate,age_vs_sector_avg,sic_division,active_with_mortgages,small_and_growing,overdue_and_active,full_accounts_with_charges
0,0,0,0,47410,Wholesale_Retail,0.043805614,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0428732786376977,0,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-7.205020877578746,47,0,0,0,0
0,0,0,0,70221,Technology_Legal_Professional,2.7789185,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1.3294378575827923,1,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-6.259339958112081,70,0,0,0,0
0,0,0,0,68310,Real_Estate,13.760438,550.0,1,629.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,2.6919504935287866,3,1,1179.0,0.2347408553638605,1,6.311734809152915,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,4.906997249174054,68,0,0,0,0
0,0,0,0,70229,Technology_Legal_Professional,1.3278576,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0.8449483596134497,0,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-7.710400858112081,70,0,0,0,0
0,0,0,0,32120,Manufacturing,0.057494868,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0559027789714376,0,0,0.0,0.0,0,0.0,12.692375747984038,0.1577167590964426,0.0850086230217773,0.1140014202624103,-12.634880879984038,32,0,0,0,0
0,0,0,0,47910,Wholesale_Retail,8.303902,0.0,0,0.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,2.230433882056849,2,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,1.0550755084212549,47,0,0,0,0
0,0,0,0,85310,Public_Sector_Education_Charities,14.220397,0.0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3,2.7226364361932243,3,1,0.0,0.0,0,0.0,8.051892748571513,0.0593602177532306,0.0576557173436219,0.093377553447319,6.168504251428487,85,0,0,0,0
0,0,0,0,74909,Technology_Legal_Professional,2.1930184,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.1609666763217412,1,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-6.845240058112081,74,0,0,0,0
0,0,0,0,68100,Real_Estate,2.9869952,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.383037864485777,1,0,0.0,0.0,0,0.0,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,-5.866445550825946,68,0,0,0,0
0,0,0,0,62012,Technology_Legal_Professional,4.1204653,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1.6332453138284289,1,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-4.91779315811208,62,0,0,0,0
0,0,0,0,47750,Wholesale_Retail,1.6892539,0.0,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.9892637945473888,0,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-5.559572591578746,47,0,0,0,0
0,0,0,0,74100,Technology_Legal_Professional,9.483915,0.0,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,2.349842177835771,2,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,0.445656541887919,74,0,0,0,0
0,0,0,0,62090,Technology_Legal_Professional,1.4948665,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.9142352207579026,0,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-7.54339195811208,62,0,0,0,0
0,0,0,0,59112,Technology_Legal_Professional,5.0075293,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1.7930135658533806,2,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-4.030729158112081,59,0,0,0,0
0,0,0,0,47910,Wholesale_Retail,5.284052,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.838014995343224,2,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-1.964774491578746,47,0,0,0,0
